param n := 500;
param r := 499
param c := 
2 0 135
3 0 90
3 2 133
3 1 85
4 0 71
4 2 99
4 3 150
7 0 51
7 2 153
7 3 13
7 5 48
7 6 192
9 0 174
9 3 149
9 4 93
9 7 168
9 8 36
9 5 159
9 6 178
12 0 75
12 2 118
12 3 11
12 4 85
12 7 67
12 1 171
12 8 26
12 11 34
12 6 20
14 0 81
14 2 56
14 3 70
14 9 170
14 12 12
14 1 100
14 8 47
14 11 24
14 10 92
15 0 136
15 2 88
15 12 139
15 1 159
15 8 184
15 13 62
15 5 113
15 6 200
16 0 100
16 4 69
16 7 199
16 9 64
16 12 167
16 1 189
16 11 170
16 13 151
17 0 110
17 2 64
17 12 45
17 14 177
17 1 106
17 8 22
17 11 46
17 13 182
20 0 110
20 2 94
20 4 198
20 9 107
20 12 17
20 15 120
20 16 178
20 17 159
20 1 19
20 8 90
20 10 20
20 13 177
20 5 92
22 0 180
22 4 111
22 7 25
22 9 80
22 12 119
22 14 10
22 16 84
22 20 77
22 19 178
22 5 157
22 6 137
24 0 179
24 2 123
24 9 151
24 22 54
24 1 177
24 11 44
24 18 35
24 13 147
24 21 187
24 5 16
25 0 127
25 2 86
25 12 39
25 14 56
25 15 134
25 20 46
25 1 33
25 11 120
25 18 95
25 10 162
25 5 80
25 23 109
25 6 195
27 0 109
27 2 64
27 3 54
27 7 145
27 9 50
27 14 74
27 16 43
27 20 52
27 22 42
27 25 71
27 8 149
27 11 12
27 5 15
27 6 48
27 26 78
28 0 73
28 2 166
28 3 166
28 14 11
28 16 151
28 17 44
28 27 154
28 8 13
28 18 56
28 19 84
28 10 120
28 13 161
30 0 107
30 3 179
30 12 58
30 17 48
30 20 109
30 28 87
30 29 78
30 13 154
30 21 79
30 23 53
30 6 59
31 0 177
31 2 199
31 3 112
31 4 169
31 12 14
31 14 119
31 16 67
31 20 187
31 22 11
31 25 59
31 28 69
31 30 36
31 11 103
31 18 120
31 19 139
31 13 171
31 5 76
31 23 160
32 0 37
32 2 54
32 3 134
32 4 65
32 9 84
32 12 36
32 22 158
32 24 44
32 28 118
32 31 185
32 19 161
32 5 133
32 23 21
32 26 103
34 0 104
34 9 137
34 14 84
34 20 172
34 22 59
34 24 168
34 25 138
34 27 92
34 28 12
34 31 104
34 1 180
34 8 194
34 11 84
34 18 34
34 19 56
34 13 196
34 21 134
34 5 117
34 23 22
34 26 161
36 0 103
36 7 69
36 9 129
36 15 152
36 16 173
36 17 162
36 22 114
36 25 148
36 27 179
36 28 102
36 8 35
36 11 94
36 18 190
36 5 109
36 33 110
36 6 13
38 0 66
38 2 28
38 3 189
38 4 138
38 7 81
38 12 73
38 22 148
38 24 44
38 28 126
38 1 170
38 8 92
38 10 167
38 5 115
38 33 124
38 35 62
38 6 183
38 26 132
39 0 72
39 2 161
39 4 38
39 7 175
39 14 70
39 16 86
39 20 160
39 25 105
39 30 122
39 38 19
39 1 160
39 8 10
39 19 160
39 29 95
39 37 122
39 21 151
39 5 52
39 33 131
39 35 16
40 0 157
40 3 46
40 4 199
40 7 164
40 12 63
40 16 43
40 24 79
40 27 146
40 28 71
40 31 47
40 32 193
40 19 132
40 37 81
40 21 27
40 5 43
40 35 188
40 23 24
40 26 23
42 0 34
42 2 140
42 14 39
42 16 109
42 20 11
42 22 69
42 25 124
42 28 192
42 30 39
42 36 169
42 40 140
42 11 42
42 18 98
42 19 103
42 29 165
42 37 144
42 41 41
42 21 129
42 23 186
42 6 86
42 26 157
43 0 126
43 2 58
43 9 175
43 14 30
43 16 62
43 17 136
43 20 56
43 22 166
43 36 123
43 39 82
43 40 57
43 1 136
43 8 170
43 29 137
43 10 68
43 13 162
43 33 188
43 35 15
43 26 149
44 0 70
44 3 155
44 4 94
44 7 114
44 9 112
44 14 199
44 15 14
44 17 154
44 20 163
44 22 19
44 25 100
44 27 192
44 32 35
44 34 161
44 36 55
44 39 76
44 40 49
44 43 147
44 1 14
44 8 59
44 18 140
44 29 20
44 37 73
44 10 53
44 13 139
44 33 154
45 0 88
45 2 158
45 7 113
45 9 103
45 12 169
45 15 170
45 17 160
45 20 47
45 22 85
45 24 158
45 34 95
45 39 59
45 40 197
45 42 43
45 44 164
45 8 118
45 29 35
45 21 132
45 35 32
45 26 81
46 0 145
46 4 195
46 7 168
46 9 132
46 14 167
46 24 18
46 31 16
46 32 61
46 34 18
46 38 165
46 43 53
46 44 138
46 45 153
46 11 53
46 18 95
46 19 186
46 29 95
46 37 97
46 23 101
46 26 53
50 0 81
50 2 121
50 3 70
50 4 134
50 9 31
50 14 103
50 15 21
50 16 93
50 22 95
50 25 120
50 27 96
50 28 97
50 34 182
50 38 96
50 40 112
50 44 46
50 46 55
50 1 81
50 18 110
50 19 77
50 48 20
50 49 96
50 10 186
50 13 129
50 21 38
50 47 33
50 33 83
50 35 120
50 23 162
50 26 142
51 0 178
51 2 171
51 4 14
51 7 172
51 9 109
51 12 71
51 15 183
51 17 55
51 20 58
51 22 85
51 24 134
51 27 170
51 28 67
51 30 52
51 32 167
51 40 11
51 42 31
51 43 101
51 45 20
51 46 165
51 11 178
51 19 46
51 29 185
51 41 143
51 48 131
51 49 113
51 6 194
51 26 152
54 0 135
54 9 24
54 14 92
54 15 58
54 16 150
54 24 77
54 25 65
54 28 18
54 30 91
54 36 125
54 39 171
54 40 49
54 42 183
54 45 62
54 50 44
54 51 197
54 19 138
54 41 74
54 48 81
54 33 45
54 23 55
54 52 16
54 6 81
56 0 181
56 3 164
56 7 142
56 12 128
56 15 136
56 17 39
56 20 69
56 22 42
56 24 131
56 25 18
56 30 19
56 31 18
56 32 197
56 34 166
56 36 179
56 38 14
56 40 133
56 43 133
56 44 13
56 50 159
56 18 140
56 29 77
56 37 41
56 41 119
56 10 93
56 13 101
56 21 13
56 35 163
56 53 124
56 23 144
56 52 65
56 26 135
58 0 74
58 2 152
58 7 31
58 9 156
58 12 147
58 15 21
58 20 118
58 27 14
58 28 158
58 31 111
58 32 15
58 36 58
58 43 86
58 45 176
58 46 52
58 50 126
58 51 48
58 54 52
58 1 71
58 11 170
58 18 92
58 37 127
58 48 12
58 10 129
58 21 61
58 5 185
58 33 96
58 35 48
58 57 92
58 23 125
58 52 19
59 0 158
59 9 32
59 16 188
59 17 156
59 24 31
59 25 131
