param n := 300;
param r := 299
param c := 
2 0 25
4 0 10
4 2 102
4 3 138
5 0 34
5 1 186
6 0 20
6 4 30
6 5 116
8 0 89
8 2 144
8 5 23
8 3 40
8 7 131
13 0 20
13 2 190
13 6 58
13 12 186
15 0 105
15 2 70
15 5 121
15 8 15
15 1 67
15 10 81
15 12 12
18 0 86
18 6 62
18 8 106
18 13 168
18 15 92
18 3 197
18 16 179
18 12 196
19 0 19
19 5 114
19 8 187
19 13 196
19 10 46
19 11 33
19 14 138
19 16 13
19 12 166
21 0 67
21 5 165
21 6 32
21 8 67
21 13 10
21 15 28
21 19 43
21 1 120
21 7 85
21 14 122
21 16 149
21 12 119
23 0 161
23 5 162
23 8 172
23 18 71
23 21 106
23 1 130
23 9 197
23 11 145
23 17 47
23 7 40
23 16 105
23 22 42
24 0 158
24 4 78
24 5 170
24 6 184
24 21 146
24 1 50
24 9 134
24 11 97
24 17 23
24 20 125
24 3 128
24 16 164
24 22 186
25 0 37
25 6 59
25 13 74
25 18 88
25 19 69
25 23 37
25 24 79
25 1 100
25 11 47
25 20 84
25 3 164
25 7 13
25 12 118
26 0 198
26 4 55
26 5 77
26 13 112
26 18 169
26 21 40
26 23 10
26 24 162
26 1 41
26 10 46
26 11 41
26 17 115
26 7 79
28 0 191
28 6 197
28 8 107
28 13 159
28 15 159
28 18 47
28 19 130
28 23 153
28 25 150
28 26 62
28 1 113
28 9 98
28 10 127
28 20 199
28 7 169
28 16 88
28 22 112
28 12 20
29 0 63
29 2 10
29 4 190
29 5 108
29 6 45
29 8 145
29 13 139
29 15 105
29 18 55
29 21 73
29 24 196
29 26 52
29 28 98
29 9 150
29 17 125
29 20 89
29 27 31
29 3 69
29 7 149
34 0 49
34 8 114
34 13 137
34 18 196
34 21 198
34 23 109
34 24 133
34 25 71
34 26 139
34 1 44
34 11 99
34 30 75
34 31 104
34 33 19
34 3 94
34 32 88
35 0 198
35 2 168
35 13 95
35 15 85
35 18 159
35 19 80
35 21 198
35 23 197
35 24 177
35 25 190
35 11 145
35 33 79
35 7 137
36 0 199
36 18 21
36 19 124
36 23 55
36 24 155
36 25 135
36 26 34
