param n := 500;
param r := 499
param c := 
1 0 36
2 0 135
2 1 29
3 0 33
3 1 81
3 2 166
7 0 194
7 1 188
7 3 30
8 0 92
8 2 106
8 3 13
8 7 170
8 6 118
8 5 149
9 0 31
9 2 109
9 6 64
9 4 108
9 5 60
11 0 62
11 2 72
11 3 188
11 7 59
11 8 81
11 9 29
11 4 108
15 0 21
15 1 20
15 8 76
15 11 15
15 6 81
15 4 51
15 10 116
15 13 53
16 0 74
16 3 14
16 7 162
16 15 192
16 12 37
16 14 32
16 4 184
16 10 110
18 0 69
18 2 195
18 8 20
18 9 137
18 11 40
18 15 189
18 16 171
18 17 151
18 5 118
18 13 147
20 0 60
20 2 178
20 3 175
20 8 153
20 11 147
20 16 169
20 12 122
20 14 25
20 4 83
20 10 24
20 19 176
21 0 49
21 1 89
21 3 174
21 11 178
21 15 144
21 18 28
21 20 180
21 6 44
21 14 73
21 17 84
21 4 47
21 5 133
21 13 140
24 0 121
24 1 27
24 7 147
24 8 45
24 15 53
24 16 192
24 18 94
24 12 152
24 17 103
24 4 13
24 5 91
24 10 124
24 19 104
25 0 135
25 2 188
25 3 83
25 7 199
25 8 194
25 15 153
25 16 127
25 18 134
25 24 16
25 5 148
25 19 140
27 0 18
27 1 78
27 3 163
27 9 190
27 15 58
27 20 141
27 25 118
27 12 104
27 17 109
27 23 140
27 4 164
27 5 87
27 26 46
27 13 11
30 0 176
30 1 163
30 3 72
30 7 175
30 8 61
30 9 122
30 11 86
30 15 53
30 16 100
30 20 192
30 21 22
30 25 181
30 6 52
30 12 26
30 29 112
30 10 90
30 26 51
30 13 195
33 0 162
33 1 105
33 2 146
33 3 44
33 7 175
33 15 57
33 20 181
33 21 184
33 27 150
33 12 96
33 14 89
33 22 18
33 23 33
33 29 145
33 10 132
33 32 62
33 13 181
33 31 22
34 0 53
34 1 34
34 2 176
34 7 200
34 11 61
34 16 47
34 18 56
34 20 92
34 21 133
34 25 153
34 33 53
34 6 83
34 12 94
34 22 178
34 28 54
34 4 177
34 19 43
34 26 69
34 13 99
34 31 35
36 0 37
36 1 75
36 2 20
36 7 75
36 8 94
36 15 89
36 18 66
36 20 91
36 21 198
36 24 140
36 25 10
36 30 117
36 33 44
36 34 177
36 14 101
36 22 157
36 23 109
36 35 133
36 10 196
36 26 81
36 32 30
36 13 167
36 31 89
39 0 95
39 1 180
39 3 122
39 7 74
39 8 52
39 9 135
39 11 83
39 20 172
39 24 10
39 25 123
39 30 62
39 34 185
39 36 97
39 12 22
39 14 161
39 17 75
39 35 71
39 37 80
39 4 200
39 26 88
39 32 52
39 13 169
40 0 45
40 2 157
40 3 125
40 7 94
40 9 93
40 21 54
40 33 55
40 34 126
40 36 145
40 14 79
40 22 38
40 23 186
40 29 28
40 35 91
40 37 26
40 4 94
40 5 64
40 10 178
40 19 11
40 26 37
40 38 144
40 13 42
40 31 116
41 0 152
41 1 81
41 3 76
41 7 29
41 9 196
41 11 87
41 15 18
41 18 187
41 20 180
41 21 46
41 24 90
41 36 116
41 39 10
41 40 159
41 6 42
41 12 96
41 22 163
41 23 67
41 29 54
41 35 180
41 37 129
41 4 70
41 5 163
41 10 20
41 19 160
41 32 156
41 13 10
43 0 121
43 1 179
43 3 159
43 9 15
43 16 183
43 18 105
43 20 88
43 24 120
43 30 37
43 33 139
43 39 34
43 12 163
43 14 74
43 29 35
43 35 64
43 37 123
43 4 149
43 5 195
43 26 15
43 32 146
43 13 172
44 0 165
44 8 16
44 18 72
44 20 175
44 27 135
44 34 74
44 41 67
44 6 134
44 12 172
44 17 25
44 23 192
44 28 143
44 4 138
44 5 181
44 10 121
44 26 38
44 32 151
44 13 67
45 0 63
45 3 187
45 8 28
45 9 108
45 15 164
45 18 12
45 20 25
45 24 125
45 30 147
45 33 99
45 36 44
45 39 126
45 40 97
45 41 153
45 43 108
45 6 118
45 23 129
45 29 105
45 4 175
45 19 134
45 26 125
45 32 35
46 0 46
46 1 79
46 3 49
46 7 43
46 9 157
46 15 130
46 16 30
46 18 19
46 20 116
46 24 29
46 27 77
46 30 187
46 34 44
46 36 46
46 40 104
46 41 49
46 43 57
46 44 47
46 6 21
46 22 153
46 23 84
46 28 168
46 29 54
46 42 97
46 4 55
46 10 195
46 19 140
46 26 108
46 32 90
46 13 152
49 0 141
49 11 103
49 16 183
49 24 52
49 33 182
49 40 91
49 44 161
49 45 189
49 46 165
49 14 155
49 17 200
49 22 194
49 23 43
49 29 76
49 35 42
49 5 51
49 19 149
49 26 20
49 32 65
49 38 126
49 31 144
51 0 154
51 1 170
51 11 29
51 16 191
51 18 60
51 21 103
