param n := 300;
param r := 299
param c := 
1 0 24
2 0 25
2 1 38
3 0 188
3 2 184
7 0 189
7 1 58
7 2 62
7 3 166
11 0 105
11 2 154
11 3 39
11 7 37
11 9 68
11 4 85
11 8 126
12 0 44
12 1 18
12 2 11
12 3 10
12 7 185
12 11 160
12 9 26
12 10 47
12 5 86
13 0 110
13 1 192
13 11 34
13 6 150
13 4 73
13 5 126
13 8 111
14 0 101
14 1 33
14 2 112
14 7 175
14 12 18
14 13 16
14 4 195
14 8 162
15 0 118
15 13 184
15 14 109
15 9 161
15 10 130
16 0 175
16 1 123
16 3 131
16 12 143
16 9 97
16 5 166
16 8 31
18 0 86
18 1 10
18 11 132
18 12 24
18 15 91
18 16 55
18 9 121
18 5 182
19 0 110
19 2 127
19 3 103
19 14 76
19 15 123
19 6 178
19 4 167
19 5 106
20 0 77
20 3 180
20 7 40
20 11 174
20 12 180
20 13 113
20 14 183
20 16 19
20 18 78
20 19 181
20 10 57
20 5 112
20 8 192
21 0 131
21 1 157
21 3 106
21 7 81
21 11 56
21 14 155
21 15 29
21 18 95
21 20 48
21 5 61
21 8 119
21 17 180
22 0 80
22 7 172
22 12 117
22 18 190
22 20 135
22 10 107
22 8 26
25 0 184
25 2 36
25 3 82
25 7 126
25 11 10
25 12 128
25 13 82
25 16 22
25 20 177
25 21 130
25 6 189
25 4 160
25 8 127
25 17 24
25 23 54
26 0 76
26 1 21
26 3 147
26 7 122
26 11 11
26 13 191
26 14 197
26 15 42
26 18 165
26 25 172
26 9 70
26 10 41
26 24 117
26 5 163
26 23 138
29 0 36
29 7 151
29 11 196
29 13 27
29 14 175
29 15 27
29 16 120
29 18 113
29 25 159
29 10 197
29 24 145
29 28 71
29 4 140
29 5 149
29 8 111
31 0 94
31 1 128
31 2 34
31 3 153
31 7 121
31 12 31
31 13 158
31 14 179
31 15 105
31 16 54
31 18 26
31 20 163
31 22 13
31 29 185
31 9 113
31 24 200
31 27 72
31 28 29
31 4 200
31 5 52
31 8 128
31 17 131
31 23 73
32 0 138
32 1 23
32 3 81
32 15 47
32 16 65
32 18 113
32 20 133
32 22 14
32 29 99
32 31 190
32 10 182
32 24 85
32 27 101
32 28 196
32 4 157
32 17 190
33 0 107
33 2 106
33 16 83
33 18 111
33 19 47
33 21 164
33 22 135
33 25 112
33 26 140
33 32 76
33 6 157
33 9 21
33 10 171
33 24 50
33 28 130
33 4 82
33 5 161
33 8 114
34 0 131
34 2 94
34 7 143
34 12 29
34 13 88
34 14 198
34 15 145
34 16 160
34 18 70
34 21 176
34 25 50
34 33 169
34 9 57
34 30 139
34 4 180
34 8 53
34 17 138
35 0 34
35 2 130
35 12 175
35 15 154
35 16 121
35 26 24
35 33 148
35 9 122
35 10 51
35 24 31
35 5 30
35 23 133
36 0 158
36 3 158
36 12 94
36 14 138
36 15 40
36 19 15
36 21 14
36 22 29
36 31 97
36 32 57
36 34 107
36 35 145
36 10 21
36 24 146
36 4 102
36 23 123
38 0 100
38 12 34
38 14 92
38 16 105
38 29 43
38 32 153
38 36 180
38 6 31
38 9 80
38 10 161
38 27 73
38 28 127
38 30 182
38 4 159
38 5 59
38 8 42
38 23 70
42 0 86
42 3 87
42 12 38
42 16 53
42 18 112
42 19 108
42 20 86
42 25 76
42 31 28
42 33 200
42 35 110
42 36 151
42 6 72
42 9 134
42 27 94
42 30 76
42 40 187
42 39 19
42 4 146
42 17 146
42 23 49
43 0 106
43 7 152
43 11 63
43 12 79
43 13 54
43 15 155
43 16 175
43 21 93
43 29 113
43 36 118
43 42 76
43 9 111
43 10 38
43 27 68
43 37 64
43 41 56
43 8 70
43 17 103
45 0 182
45 2 42
45 7 159
45 11 29
45 12 84
45 13 59
45 14 151
45 15 13
45 18 137
45 20 198
45 25 176
45 26 96
45 29 30
45 31 143
45 33 176
45 35 50
45 6 177
45 10 30
45 24 19
45 27 41
45 28 183
45 30 160
45 40 39
45 44 70
45 37 26
45 39 197
45 4 81
45 8 196
45 17 104
45 23 146
50 0 30
50 7 176
50 11 93
50 12 161
50 14 69
50 15 103
50 16 134
50 18 165
50 19 52
50 21 102
50 25 86
50 35 18
50 42 189
