param n := 500;
param r := 499
param c := 
1 0 191
2 0 141
6 0 48
6 1 51
6 3 96
6 5 31
9 0 11
9 8 147
11 0 128
11 9 200
11 4 23
13 0 157
13 2 188
13 6 126
13 9 87
13 3 101
13 5 141
13 10 149
13 12 198
13 4 91
13 7 182
13 8 25
15 0 141
15 1 116
15 11 113
15 13 62
15 3 180
15 5 48
15 12 39
15 14 29
15 4 114
15 7 149
16 0 43
16 2 13
16 6 75
16 9 157
16 11 22
16 15 39
16 3 197
16 12 67
16 7 140
17 0 17
17 1 30
17 2 120
17 11 171
17 15 66
17 16 68
17 10 200
17 12 180
20 0 142
20 1 164
20 13 188
20 15 102
20 16 157
20 3 189
20 5 85
20 10 66
20 12 84
20 18 127
20 8 41
21 0 38
21 1 41
21 2 127
21 6 187
21 17 158
21 20 83
21 5 31
21 10 18
21 14 152
21 18 13
21 19 182
21 4 129
21 8 89
22 0 153
22 1 37
22 2 99
22 6 106
22 9 178
22 11 184
22 15 56
22 17 88
22 20 14
22 3 63
22 5 117
22 12 52
24 0 194
24 6 121
24 9 90
24 11 106
24 15 34
24 17 25
24 22 37
24 5 112
24 10 41
24 4 126
25 0 105
25 1 20
25 6 186
25 15 128
25 16 47
25 20 59
25 21 100
25 12 89
25 14 32
25 4 66
25 7 104
27 0 54
27 2 43
27 9 57
27 11 184
27 13 103
27 15 61
27 16 42
27 17 76
27 3 92
27 10 154
27 14 25
27 19 198
27 7 147
27 23 135
28 0 84
28 2 127
28 6 141
28 9 102
28 15 79
28 16 174
28 21 104
28 22 47
28 27 176
28 3 48
28 5 112
28 14 155
28 18 62
28 4 173
28 7 98
29 0 12
29 1 66
29 2 27
29 6 134
29 9 123
29 11 52
29 15 94
29 16 30
29 17 190
29 24 116
29 25 185
29 27 31
29 10 21
29 12 143
29 18 170
29 19 133
29 7 156
29 26 105
31 0 40
31 2 116
31 6 144
31 15 155
31 17 27
31 20 31
31 21 58
31 24 61
31 25 23
31 29 105
31 5 104
31 12 166
31 18 18
31 4 139
31 7 84
31 8 118
31 23 43
31 26 54
32 0 80
32 1 80
32 9 179
32 11 49
32 16 41
32 21 45
32 22 188
32 3 124
32 14 56
32 18 144
32 19 28
32 4 41
32 8 24
32 23 178
32 26 124
33 0 82
33 2 103
33 6 121
33 9 66
33 16 185
33 20 160
33 22 58
33 25 180
33 29 15
33 31 29
33 32 122
33 3 62
33 5 190
33 18 24
33 7 168
33 8 60
35 0 109
35 6 162
35 9 187
35 13 171
35 20 189
35 21 26
35 22 193
35 24 110
35 25 188
35 5 57
35 10 150
35 12 153
35 14 11
35 19 31
35 30 153
35 26 170
39 0 60
39 11 196
39 13 63
39 15 80
39 21 32
39 22 162
39 24 64
39 25 38
39 27 143
39 29 28
39 33 15
39 3 76
39 5 81
39 12 92
39 18 13
39 19 137
39 30 77
39 34 127
39 36 22
39 8 158
39 23 134
39 26 180
41 0 78
41 1 70
41 2 11
41 6 63
41 9 39
41 11 55
41 15 136
41 16 173
41 20 139
41 21 99
41 22 141
41 25 21
41 28 117
41 31 137
41 32 192
41 35 25
41 39 152
41 3 124
41 10 37
41 12 160
41 34 101
41 4 59
41 7 62
41 37 41
42 0 49
42 1 73
42 2 106
