param n := 200;
param r := 199
param c := 
2 0 23
3 0 16
3 2 130
6 0 103
6 2 192
6 3 16
8 0 56
8 6 43
8 4 62
8 5 105
8 7 180
10 0 99
10 1 56
10 9 13
11 0 40
11 2 29
11 6 132
11 8 164
11 4 99
11 7 54
12 0 19
12 10 114
12 11 51
12 1 198
12 4 85
12 9 118
12 5 181
12 7 199
13 0 134
13 2 51
13 6 197
13 10 16
13 1 147
13 5 120
14 0 118
14 2 138
14 10 155
14 12 145
14 9 68
14 5 170
14 7 117
15 0 139
15 2 173
15 8 134
15 11 74
15 12 196
15 14 108
15 4 20
15 9 160
16 0 195
16 6 36
16 8 78
16 12 169
16 13 146
16 15 48
16 1 114
16 5 151
17 0 133
17 2 192
17 8 173
17 10 175
17 11 199
17 12 86
17 15 162
17 16 171
19 0 63
19 2 37
19 6 11
19 8 120
19 11 72
19 12 174
19 15 147
19 16 46
19 9 155
19 5 30
19 7 62
19 18 98
20 0 24
20 2 18
20 6 153
20 8 194
20 11 170
20 14 122
20 16 197
20 17 14
20 4 95
20 9 67
20 5 159
21 0 100
21 2 80
21 3 62
21 6 196
21 14 46
21 15 126
21 16 76
21 17 93
21 4 190
21 5 146
21 7 81
21 18 15
22 0 58
22 10 171
22 11 188
22 12 163
22 13 97
22 14 60
22 15 68
22 17 87
22 1 121
22 4 122
22 9 116
22 5 65
22 7 84
22 18 65
24 0 106
24 2 179
24 3 34
24 10 13
24 11 17
24 13 175
24 16 171
24 19 93
24 21 106
24 4 79
24 5 160
24 23 115
24 18 161
26 0 180
26 2 77
26 3 152
26 8 182
26 10 160
26 11 157
26 15 126
26 20 180
26 24 62
26 1 168
26 4 148
26 9 162
31 0 165
31 2 124
31 3 162
31 8 188
31 15 45
31 19 44
31 21 82
31 26 98
31 4 197
31 9 155
31 25 190
31 28 98
31 27 110
32 0 10
32 3 103
32 6 23
32 13 56
32 16 38
32 17 164
32 19 151
32 20 16
32 21 15
32 4 117
32 25 116
32 28 187
32 7 185
32 23 122
32 30 162
32 18 79
32 27 106
33 0 70
33 6 180
33 17 48
33 19 62
33 21 53
33 22 161
33 31 189
33 32 193
33 1 175
33 25 39
33 28 141
33 23 62
33 30 140
33 27 194
36 0 67
36 6 195
36 8 81
36 11 103
36 12 36
36 16 125
36 17 83
36 20 144
36 21 84
36 22 164
36 24 184
36 31 147
36 32 131
36 1 174
36 4 90
36 9 53
36 25 139
36 29 168
36 5 135
36 7 81
36 23 24
36 30 39
36 27 165
36 35 68
37 0 28
37 2 154
37 3 39
37 6 147
37 13 53
37 15 21
37 19 94
37 26 121
37 31 54
37 32 175
37 36 128
37 1 90
37 4 90
37 25 128
37 29 56
37 34 49
37 7 47
37 23 51
37 30 63
37 18 29
38 0 85
38 2 65
38 3 53
38 8 51
38 11 133
38 13 36
38 14 93
38 15 148
38 19 80
38 20 139
38 22 54
38 26 113
38 33 167
38 37 108
38 1 16
38 25 185
38 28 140
38 34 180
38 18 156
38 27 169
39 0 161
39 11 97
39 14 110
39 15 117
39 17 96
39 20 86
39 31 17
39 36 176
39 37 167
39 38 38
39 25 11
39 28 134
39 29 33
39 23 118
39 18 191
40 0 183
40 2 60
40 6 97
40 12 67
40 15 189
40 20 37
40 24 81
40 31 179
40 36 69
40 37 14
40 38 98
40 1 68
40 4 139
40 9 76
40 25 182
40 5 193
40 23 173
40 18 95
40 27 21
40 35 59
41 0 136
41 2 168
41 6 115
41 8 74
41 10 182
41 11 28
41 12 14
41 14 180
41 15 23
41 26 144
41 31 53
41 32 61
41 37 63
41 38 22
41 40 177
41 9 81
41 28 87
41 29 81
41 23 85
41 18 145
41 27 146
41 35 37
43 0 102
43 2 90
43 11 133
43 13 145
43 17 90
43 24 99
43 26 35
43 32 177
43 36 43
43 37 38
43 40 39
43 1 160
43 25 185
43 29 79
43 5 25
43 23 94
43 42 162
46 0 181
46 2 43
46 8 43
46 11 170
46 14 16
46 16 188
46 17 125
46 19 190
46 20 138
46 21 12
46 22 120
46 24 44
46 26 157
46 32 101
46 36 12
46 37 89
46 40 145
46 41 13
46 1 27
46 28 122
46 29 63
46 5 93
46 7 87
46 23 166
46 27 59
47 0 104
47 2 184
47 10 66
47 11 137
47 12 120
47 13 81
47 14 153
47 17 188
47 20 86
47 24 38
47 32 116
47 36 50
47 37 52
47 39 66
47 43 104
47 46 90
47 28 121
47 34 55
47 44 10
47 7 196
47 45 112
48 0 178
48 3 185
48 8 185
48 11 96
48 13 191
48 16 123
48 17 60
48 21 39
48 26 107
48 32 100
48 36 35
48 37 160
48 38 15
48 40 136
48 41 164
48 43 43
48 1 141
48 4 15
48 28 108
48 5 164
48 30 38
48 45 144
48 35 109
49 0 163
49 2 185
49 3 192
49 6 21
49 11 58
49 12 81
49 13 199
49 17 196
49 21 196
49 26 43
49 36 112
49 37 30
49 41 121
49 46 195
49 1 121
49 4 175
49 9 76
49 25 28
49 29 85
49 44 85
49 23 11
49 27 75
49 45 72
49 35 96
51 0 110
51 3 67
51 11 126
51 12 147
51 15 128
51 16 109
51 20 71
51 22 109
51 24 92
51 32 88
51 33 11
51 37 10
51 38 12
51 39 132
51 1 26
51 4 186
51 9 14
51 25 111
51 28 101
51 29 36
51 34 185
51 44 118
51 5 62
51 23 131
51 27 123
51 45 89
51 35 124
52 0 140
52 2 37
52 10 90
52 13 40
52 14 43
52 16 127
52 17 155
52 20 99
52 21 15
52 26 98
52 31 146
52 32 32
52 33 45
52 38 194
52 40 163
52 43 65
52 46 63
52 48 169
52 49 18
52 51 176
52 9 185
52 29 109
52 34 154
52 44 137
52 30 186
52 18 154
52 35 39
53 0 21
53 3 159
53 8 101
53 15 159
53 19 49
53 20 57
53 22 94
53 24 132
53 26 68
53 31 91
53 37 106
53 38 99
53 39 89
53 41 162
53 46 116
53 1 52
53 4 126
53 9 36
53 44 110
53 30 118
53 42 194
53 18 172
53 27 41
53 35 27
53 50 184
55 0 173
55 2 191
55 3 194
55 10 186
55 11 61
55 14 25
55 15 19
55 16 183
55 20 176
55 26 197
55 31 38
55 37 144
55 39 121
55 51 33
55 52 149
55 53 158
55 1 167
55 9 78
55 25 12
55 28 149
55 29 189
55 44 25
55 23 52
55 30 150
55 42 127
55 27 41
55 35 126
55 50 192
56 0 102
56 2 71
56 3 170
56 6 168
56 8 38
56 10 113
56 11 91
56 13 129
56 14 101
56 16 82
56 17 98
56 26 164
56 32 102
56 36 176
56 39 165
56 40 138
56 43 47
56 46 56
56 47 106
56 48 103
56 49 115
56 51 19
56 52 84
56 1 89
56 4 84
56 25 47
56 29 84
56 54 187
56 5 41
56 23 170
56 30 150
56 42 90
56 18 143
56 27 15
56 50 148
58 0 191
58 3 97
58 11 33
58 12 57
58 13 139
58 15 194
58 16 149
58 17 76
58 19 114
58 21 33
58 22 22
58 24 166
58 26 88
58 32 145
58 33 100
58 39 32
58 41 93
58 43 48
58 46 121
58 48 18
58 53 91
58 55 41
58 9 83
58 25 16
58 28 131
58 34 61
58 44 188
58 54 74
58 5 127
58 7 182
58 42 95
58 27 42
58 50 198
60 0 167
60 2 97
60 10 137
60 13 107
60 15 200
60 16 44
60 17 51
60 19 75
60 20 45
60 24 22
60 26 30
60 31 179
60 32 94
60 33 56
60 36 119
60 37 83
60 38 61
60 39 160
60 43 119
60 47 41
60 48 22
60 52 59
60 53 89
60 56 71
60 58 168
60 1 79
60 4 70
60 28 185
60 29 78
60 34 56
60 54 51
60 59 183
60 5 91
60 23 118
60 42 171
60 27 130
60 50 73
62 0 21
62 2 188
62 3 135
62 8 40
62 10 148
62 11 14
62 14 83
62 21 102
62 22 27
62 24 192
62 38 35
62 41 169
62 43 120
62 47 77
62 49 81
62 51 13
62 52 182
62 55 197
62 56 21
62 58 109
62 60 43
62 1 125
62 4 163
62 9 78
62 28 24
62 44 34
62 54 34
62 59 50
62 61 116
62 7 134
62 57 133
62 18 143
62 27 53
62 35 10
62 50 176
64 0 142
64 3 17
64 6 89
64 11 133
64 12 48
64 14 147
64 15 140
64 16 109
64 17 189
64 20 47
64 31 31
64 32 13
64 36 63
64 39 156
64 47 103
64 48 189
64 51 163
64 53 68
64 60 160
64 62 90
64 4 79
64 25 126
64 28 24
64 29 140
64 44 197
64 54 17
64 7 184
64 23 112
64 42 145
64 18 79
64 35 81
64 63 157
68 0 131
68 2 111
68 6 157
68 11 90
68 12 148
68 13 180
68 16 74
68 21 77
68 22 134
68 32 171
68 33 181
68 36 78
68 37 200
68 38 191
68 39 141
68 46 197
68 48 68
68 49 38
68 52 19
68 55 132
68 58 102
68 60 36
68 64 172
68 1 77
68 4 38
68 9 116
68 28 149
68 34 44
68 44 190
68 54 162
68 61 53
68 5 16
68 23 47
68 30 110
68 42 197
68 57 119
68 18 68
68 27 10
68 35 122
68 66 90
68 50 33
68 63 149
69 0 84
69 8 73
69 10 102
69 12 56
69 14 79
69 15 183
69 16 110
69 17 65
69 20 172
69 21 76
69 24 106
69 26 160
69 31 138
69 32 198
69 33 176
69 41 28
69 48 153
69 53 63
69 55 147
69 56 138
69 58 193
69 1 34
69 9 58
69 59 70
69 5 47
69 7 160
69 23 107
69 42 135
69 57 99
69 67 66
69 66 64
69 50 53
70 0 110
70 2 20
70 3 82
70 6 26
70 14 107
70 16 98
70 17 91
70 19 19
70 20 106
70 22 192
70 24 15
70 31 63
70 32 119
70 36 110
70 40 33
70 41 95
70 47 104
70 51 71
70 55 80
70 62 199
70 69 25
70 4 136
70 25 160
70 29 112
70 34 155
70 61 181
70 65 53
70 7 48
70 30 197
70 18 149
70 45 43
70 66 167
70 63 79
71 0 125
71 3 44
71 10 68
71 12 78
71 14 138
71 19 29
71 22 127
71 24 166
71 31 151
71 32 143
71 37 147
71 43 187
71 49 153
71 52 17
71 56 158
71 1 107
71 9 85
71 25 186
71 29 110
71 44 126
71 59 157
71 5 106
71 7 37
71 30 199
71 42 164
71 57 79
71 18 111
71 27 111
71 45 37
71 63 83
73 0 84
73 6 184
73 8 181
73 10 88
73 11 147
73 12 43
73 14 139
73 17 75
73 20 104
73 22 72
73 24 190
73 26 186
73 31 102
73 32 141
