param n := 100;
param r := 99
param c := 
5 0 15
5 1 30
5 2 20
5 3 52
7 0 84
7 5 96
7 1 104
7 4 24
7 3 197
7 6 80
10 0 139
10 7 141
10 9 42
10 8 197
10 6 93
11 0 158
11 5 195
11 2 65
11 9 66
11 3 72
11 8 138
14 0 38
14 5 72
14 10 10
14 9 137
14 6 77
15 0 170
15 10 194
15 11 52
15 14 99
15 1 69
15 9 10
15 13 24
15 6 190
16 0 186
16 10 173
16 15 36
16 2 198
16 12 129
16 8 42
16 13 199
16 6 147
18 0 85
18 5 15
18 11 27
18 14 79
18 9 74
18 12 165
18 8 119
18 6 36
19 0 143
19 10 60
19 14 128
19 15 165
19 16 196
19 1 192
19 4 74
19 9 69
19 3 141
19 8 159
19 6 126
20 0 68
20 7 122
20 10 144
20 11 120
20 14 169
20 16 200
20 19 69
20 1 152
20 4 193
20 12 136
20 3 97
20 8 69
20 13 14
20 6 195
21 0 42
21 19 96
21 1 88
21 17 36
21 4 144
21 3 180
21 6 75
23 0 20
23 5 11
23 10 111
23 14 143
23 15 99
23 16 34
23 20 141
23 1 120
23 2 46
23 22 125
23 4 67
23 9 27
23 13 176
25 0 183
25 7 14
25 11 114
25 14 108
25 16 199
25 18 123
25 17 178
25 24 193
25 4 133
25 3 76
29 0 85
29 5 161
29 7 136
29 11 60
29 16 95
29 18 138
29 21 71
29 23 176
29 1 10
29 2 189
29 17 98
29 22 159
29 24 126
29 4 49
29 9 165
29 12 68
29 26 191
29 8 104
31 0 94
31 7 111
31 10 176
31 11 75
31 14 94
31 15 56
31 19 177
31 23 25
31 25 101
31 29 96
31 1 149
31 2 149
31 22 60
31 30 69
31 26 76
31 28 153
31 8 82
34 0 168
34 5 95
34 14 187
34 20 67
34 21 43
34 22 166
34 24 22
34 30 56
34 4 153
34 27 28
34 33 65
34 3 116
34 28 179
34 8 145
34 13 53
34 6 131
37 0 37
37 5 58
37 7 161
37 14 72
37 16 132
37 20 54
37 25 42
37 29 193
37 31 36
37 1 189
37 17 132
37 32 160
37 36 83
37 9 20
37 27 157
37 28 135
37 13 147
40 0 26
40 14 69
40 15 124
40 18 31
40 19 111
40 20 22
40 25 45
40 29 40
40 1 200
40 36 72
40 9 151
40 26 172
40 33 147
40 35 45
40 3 11
40 6 22
41 0 176
41 10 12
41 14 107
41 18 96
41 19 137
41 20 61
41 25 125
41 29 21
41 34 27
41 40 116
41 1 101
41 22 10
41 35 189
41 3 41
41 28 40
41 13 195
44 0 191
44 5 80
44 7 85
44 10 24
44 14 46
44 15 15
44 18 178
44 19 59
44 21 149
44 25 197
44 40 181
44 41 101
44 1 93
44 42 16
44 43 108
44 4 80
44 9 31
44 26 97
44 33 162
44 35 116
44 13 95
44 6 147
46 0 189
46 7 100
46 14 65
46 16 22
46 20 140
46 23 176
46 25 133
46 29 69
46 31 95
46 37 176
46 1 122
46 2 59
46 22 77
46 30 91
46 32 138
46 42 173
46 45 77
46 4 192
46 12 75
46 27 88
46 33 139
46 35 177
46 3 72
46 28 128
46 38 62
46 39 123
46 8 119
48 0 20
48 7 21
48 10 43
48 11 16
48 14 171
48 16 71
48 18 119
48 21 151
48 23 69
48 29 63
48 40 162
48 44 145
48 1 191
48 17 26
48 22 176
48 24 65
48 32 94
48 42 62
48 45 119
48 47 109
48 4 183
48 12 39
48 26 102
48 35 184
48 3 65
48 38 131
48 39 158
48 8 156
48 13 193
48 6 94
50 0 122
50 5 155
50 10 25
50 14 154
50 15 50
50 19 164
50 21 135
50 25 96
50 29 199
50 34 39
50 44 128
50 46 80
50 1 49
50 22 83
50 24 199
50 32 115
50 9 42
50 12 119
50 26 86
50 35 160
50 38 184
50 39 189
50 6 121
52 0 121
52 11 188
52 14 59
52 16 160
52 21 197
52 31 37
52 34 154
52 37 25
52 40 197
52 41 106
52 44 76
52 46 110
52 2 23
52 30 183
52 36 51
52 42 32
52 43 190
52 47 123
52 12 123
52 27 41
52 33 191
52 35 103
52 3 32
52 38 51
52 8 199
52 6 27
54 0 128
54 7 171
54 15 109
54 16 163
54 19 72
54 21 181
54 23 146
54 25 125
54 29 145
54 31 74
54 34 70
54 40 133
54 44 186
54 46 78
54 48 124
54 50 183
54 1 38
54 2 103
54 17 58
54 24 129
54 30 153
54 43 185
54 45 18
54 49 117
54 4 95
54 12 61
54 27 89
54 33 18
54 53 171
54 38 154
54 39 90
54 13 118
55 0 191
55 10 19
55 16 65
55 19 117
55 23 58
55 31 154
55 34 84
55 40 158
55 41 109
55 44 165
55 50 68
55 54 96
55 2 20
55 30 193
55 36 148
55 45 150
55 47 120
55 49 33
55 9 175
55 26 13
55 33 66
55 53 71
55 28 162
55 38 185
56 0 103
56 7 140
56 11 158
56 15 139
56 19 126
56 20 32
56 21 149
56 31 198
56 34 49
56 40 142
56 41 70
56 46 167
