param n := 50;
param r := 49
param c := 
2 0 115
2 1 180
4 0 55
6 0 14
6 2 138
6 1 155
6 3 145
15 0 127
15 4 100
15 3 106
15 5 116
15 9 51
15 13 119
15 7 63
15 8 115
15 10 75
15 12 119
15 14 16
18 0 99
18 2 155
18 4 197
18 1 154
18 3 85
18 5 21
18 9 139
18 11 99
18 7 196
18 8 88
18 14 46
20 0 91
20 4 180
20 6 199
20 15 41
20 5 145
20 9 146
20 13 13
20 19 70
20 8 153
20 16 194
20 12 51
20 14 31
21 0 110
21 4 170
21 1 115
21 3 155
21 13 37
21 17 65
21 19 100
21 7 57
21 8 195
21 10 124
21 16 143
21 12 175
21 14 149
22 0 91
22 2 32
22 4 114
22 6 15
22 15 179
22 21 39
22 1 166
22 3 89
22 9 86
22 11 144
22 17 14
22 7 35
22 8 34
22 16 188
22 12 181
24 0 139
24 15 179
24 18 183
24 20 128
24 21 109
24 22 68
24 11 176
24 13 105
24 8 61
24 14 32
26 0 104
26 15 12
26 20 189
26 22 111
26 1 114
26 3 182
26 11 66
26 13 105
26 7 27
26 8 40
26 25 18
26 12 96
26 14 122
27 0 52
27 2 152
27 15 35
27 18 149
27 22 41
27 24 119
27 26 121
27 1 116
27 5 48
27 17 71
27 19 152
27 8 196
27 10 20
27 16 14
27 25 138
27 12 174
27 14 69
27 23 155
28 0 45
28 2 187
28 4 11
28 15 23
28 18 199
28 20 52
28 22 171
28 26 59
28 3 15
28 5 60
28 9 188
28 13 32
28 17 148
28 7 138
28 10 171
28 16 82
28 12 53
28 14 102
29 0 177
29 2 76
29 15 52
29 18 68
29 20 168
29 21 196
29 22 125
29 26 111
29 27 120
29 28 105
29 11 35
29 7 192
29 12 42
29 14 89
30 0 154
30 18 118
30 21 66
30 22 184
30 24 21
30 27 100
30 29 162
30 1 76
30 3 125
30 5 46
30 11 116
30 13 103
30 7 141
30 16 134
30 14 190
30 23 57
31 0 177
31 4 114
31 21 165
31 24 186
31 26 191
31 28 199
31 29 137
31 1 141
31 3 11
31 9 185
31 13 193
31 17 61
31 19 135
31 8 79
31 25 142
31 12 106
31 23 38
33 0 165
33 4 100
33 6 52
33 15 175
33 27 124
33 30 125
33 31 186
33 11 88
33 13 142
33 17 74
33 32 135
33 8 70
33 10 148
33 12 171
33 23 24
36 0 30
36 15 128
36 20 29
36 21 129
36 24 17
36 26 104
36 28 53
36 29 92
36 33 173
36 3 96
36 9 113
36 11 52
36 19 82
36 7 44
36 8 175
36 16 157
36 14 196
36 35 76
37 0 151
37 4 10
37 15 142
37 20 30
37 22 164
37 24 37
37 26 30
37 27 179
37 29 41
37 30 136
37 33 118
37 11 168
37 13 136
37 17 95
37 7 166
37 8 117
37 12 103
37 23 52
37 34 158
37 35 132
38 0 184
38 6 44
38 18 14
38 20 107
38 21 134
38 24 153
38 27 40
38 28 181
38 31 179
38 36 182
38 37 67
38 1 13
38 9 35
38 17 171
38 10 54
38 25 136
38 14 155
38 34 125
39 0 58
39 2 196
39 15 169
39 18 47
39 21 52
39 22 118
39 26 35
39 27 136
39 28 17
39 30 167
39 36 172
39 38 18
39 11 101
39 17 51
39 19 81
39 7 167
39 8 67
39 10 63
39 23 31
40 0 78
40 15 80
40 18 147
40 21 55
40 24 16
40 27 10
40 31 63
40 37 95
40 38 72
40 5 63
40 9 78
40 11 143
40 17 67
40 7 77
40 8 34
40 10 48
40 23 114
42 0 40
42 4 18
42 18 98
42 20 109
42 21 194
42 24 107
42 26 34
42 27 177
42 28 173
42 29 192
42 30 39
42 31 141
42 36 27
42 37 113
42 38 51
42 39 184
42 1 17
42 19 72
42 7 178
42 10 68
42 16 28
