param n := 600;
param r := 599
param c := 
1 0 108
8 0 37
8 3 91
8 5 81
8 4 146
8 6 176
9 0 84
9 1 144
9 5 148
12 0 196
12 8 188
12 3 65
12 5 141
12 2 102
13 0 129
13 3 177
13 5 27
13 7 119
13 11 39
13 10 186
15 0 145
15 1 65
15 8 192
15 9 83
15 13 83
15 7 42
15 11 172
15 4 40
16 0 119
16 1 193
16 12 61
16 5 100
16 11 23
16 2 151
16 4 165
16 10 179
16 14 171
18 0 36
18 1 121
18 12 60
18 16 97
18 3 80
18 7 92
18 2 184
18 4 125
18 10 100
18 17 111
21 0 105
21 1 123
21 9 80
21 12 81
21 13 198
21 15 25
21 16 188
21 3 121
21 5 145
21 7 12
21 2 42
21 4 132
21 10 70
21 17 110
21 6 134
21 14 123
22 0 122
22 1 17
22 13 136
22 18 70
22 21 54
22 20 104
22 2 128
22 10 94
23 0 165
23 8 58
23 12 162
23 18 193
23 21 114
23 7 35
23 19 143
23 2 48
23 4 168
23 10 49
23 17 10
25 0 183
25 1 49
25 8 16
25 12 90
25 13 43
25 15 93
25 16 34
25 18 74
25 23 81
25 3 109
25 5 84
25 7 137
25 11 185
25 20 156
25 17 141
30 0 190
30 1 163
30 8 83
30 15 199
30 22 106
30 23 23
30 3 141
30 5 113
30 7 12
30 4 41
30 17 19
30 26 121
30 29 167
30 6 79
30 14 27
33 0 134
33 1 127
33 8 72
33 9 150
33 12 59
33 15 35
33 18 127
33 23 174
33 25 180
33 7 74
33 11 11
33 20 196
33 2 32
33 4 103
33 26 118
33 32 51
33 14 115
33 31 175
35 0 40
35 8 15
35 16 32
35 18 148
35 21 142
35 25 162
35 3 91
35 5 82
35 7 68
35 24 35
35 2 63
35 4 172
35 14 71
35 34 137
35 31 195
36 0 114
36 9 82
36 15 117
36 16 92
36 23 91
36 25 17
36 30 134
36 33 62
36 5 164
36 7 172
36 11 147
36 19 110
36 24 180
36 27 64
36 2 172
36 4 21
36 17 154
36 29 73
36 6 108
36 14 76
36 31 157
39 0 116
39 1 179
39 8 49
39 13 80
39 21 136
39 25 80
39 33 152
39 36 193
39 5 52
39 11 46
39 19 181
39 20 126
39 24 21
39 2 127
39 4 112
39 17 157
39 26 13
39 29 91
40 0 21
40 12 160
