param n := 900;
param r := 899
param c := 
2 0 31
3 0 81
3 2 151
3 1 192
6 0 78
6 2 98
6 1 36
6 4 34
9 0 156
9 2 163
9 3 160
9 6 200
9 1 100
9 4 15
9 8 24
9 7 30
12 0 109
12 3 61
12 9 139
12 1 197
12 4 91
12 7 107
13 0 48
13 3 123
13 12 148
13 8 157
13 7 143
13 5 94
16 0 43
16 3 188
16 6 136
16 12 197
16 13 159
16 1 183
16 10 129
16 11 65
16 15 133
16 7 82
17 0 187
17 6 85
17 9 134
17 16 134
17 4 194
17 11 127
17 14 31
17 8 49
17 5 142
18 0 135
18 2 122
18 3 45
18 6 155
18 9 55
18 12 19
18 17 108
18 4 103
18 14 33
18 15 41
18 8 114
18 7 75
19 0 143
19 6 107
19 13 131
19 17 168
19 14 192
19 8 119
19 7 125
22 0 95
22 2 113
22 3 99
22 6 180
22 9 161
22 12 111
22 18 153
22 10 64
22 11 157
22 14 61
22 15 139
23 0 65
23 2 44
23 3 134
23 17 100
23 18 191
23 19 129
23 22 139
23 4 57
24 0 60
24 6 192
24 12 98
24 13 19
24 17 42
24 19 137
24 22 188
24 23 98
24 1 65
24 4 177
24 11 165
24 14 87
24 8 60
24 5 148
24 20 147
25 0 171
25 3 140
25 12 36
25 13 43
25 16 41
25 18 140
25 24 90
25 10 196
25 8 127
25 7 121
26 0 116
26 6 184
26 9 83
26 12 199
26 18 102
26 19 193
26 24 87
26 25 188
26 1 189
26 11 195
26 14 159
26 20 151
29 0 123
29 2 111
29 3 30
29 6 159
29 13 156
29 16 187
29 17 127
29 18 149
29 19 117
29 22 22
29 23 129
29 24 125
29 1 164
29 27 139
29 28 144
29 7 147
29 5 40
30 0 200
30 2 24
30 6 179
30 9 151
30 17 149
30 18 163
30 19 113
30 22 57
30 23 125
30 26 193
30 10 106
30 15 171
30 7 100
30 5 15
30 21 63
31 0 71
31 3 180
31 9 108
31 12 191
31 13 87
31 16 51
31 17 91
31 22 57
31 24 173
31 4 116
31 14 74
31 8 28
31 7 151
31 5 77
31 21 133
32 0 56
32 2 83
32 12 196
32 13 98
32 17 25
32 18 121
32 23 188
32 29 141
32 30 154
32 31 115
32 1 11
32 27 26
32 7 79
32 20 59
35 0 151
35 6 162
35 13 144
35 16 118
35 17 62
35 19 47
35 22 83
35 23 42
35 29 150
35 30 146
35 32 70
35 1 190
35 10 15
35 34 68
35 8 149
35 28 63
35 7 77
36 0 43
36 9 48
36 12 136
36 16 144
36 17 161
36 18 167
36 22 100
36 23 166
36 25 33
36 26 76
36 31 95
36 32 132
36 35 92
36 11 36
36 14 159
36 15 63
36 33 182
36 34 193
36 8 27
36 27 159
36 7 63
36 5 45
36 21 176
38 0 124
38 3 105
38 16 78
38 19 89
38 23 188
38 24 70
38 26 121
38 35 74
38 36 31
38 1 36
38 14 54
38 33 117
38 7 178
38 5 143
38 20 169
38 21 157
40 0 135
40 9 95
40 13 22
40 16 132
40 23 23
40 26 64
40 30 182
40 38 62
40 4 42
40 11 192
40 14 58
40 15 47
40 33 158
40 8 43
40 27 178
40 28 36
40 37 27
40 7 76
40 21 156
41 0 134
41 9 13
41 13 29
41 19 198
41 22 186
41 25 93
41 29 157
41 30 101
41 35 193
41 1 99
41 39 153
41 8 42
41 21 40
42 0 110
42 3 35
42 13 126
42 16 178
42 18 84
42 19 135
42 23 109
42 24 38
42 29 158
42 30 136
42 31 112
42 35 142
42 36 165
42 14 72
42 15 39
42 33 171
42 34 55
42 39 110
42 8 76
42 7 30
42 5 128
42 20 32
48 0 26
48 6 13
48 12 199
48 23 57
48 30 152
48 31 147
48 32 125
48 36 177
48 38 19
48 40 94
48 42 34
48 10 193
48 14 78
48 15 140
48 34 113
48 39 106
48 44 32
48 45 132
48 8 198
48 27 169
48 37 18
48 43 177
48 5 188
48 20 111
50 0 94
50 2 12
50 3 198
50 9 151
50 18 139
50 22 104
50 23 154
50 24 107
50 29 129
50 35 198
50 38 34
50 48 37
50 15 16
50 39 67
50 44 38
50 46 121
50 27 139
50 7 13
50 5 131
52 0 28
52 13 134
52 16 184
52 17 60
52 19 180
52 22 170
52 23 103
52 30 176
52 31 126
52 32 128
52 35 79
52 36 61
52 42 180
52 48 148
52 50 33
52 11 153
52 14 145
52 34 164
52 39 178
52 45 97
52 46 58
52 8 132
52 27 123
52 20 34
52 21 15
52 47 130
52 51 44
53 0 100
53 2 138
53 13 186
53 22 11
53 26 20
53 30 13
53 35 176
53 36 195
53 38 171
53 41 60
53 42 47
53 52 22
53 10 126
53 11 116
53 34 136
53 44 118
53 8 131
53 28 97
53 37 13
53 43 77
53 7 72
53 21 59
53 51 68
54 0 167
54 2 82
54 3 120
54 6 123
54 12 154
54 13 165
54 17 132
54 19 104
54 22 189
54 24 151
54 25 21
54 32 183
54 36 186
54 41 198
54 53 185
54 1 101
54 4 120
54 14 176
54 15 146
54 34 44
54 39 83
54 46 193
54 49 102
54 37 146
54 21 87
54 47 185
54 51 123
55 0 70
55 12 95
55 13 70
55 16 24
55 17 157
55 19 59
55 23 92
55 25 165
55 31 157
55 35 46
55 42 98
55 54 38
55 1 135
55 10 184
55 11 49
55 15 143
55 34 99
55 39 116
55 46 173
55 49 28
55 28 110
55 7 98
55 20 34
55 21 35
59 0 171
59 12 91
59 13 22
59 22 171
59 24 98
59 25 141
59 26 12
59 36 184
59 40 30
59 42 53
59 48 114
59 52 85
59 53 183
59 54 187
59 10 71
59 11 99
59 14 124
59 33 164
59 39 24
59 44 155
59 49 54
59 58 173
59 8 180
59 27 122
59 7 79
59 51 96
60 0 114
60 2 110
60 3 104
60 12 177
60 13 17
60 18 43
60 22 137
60 23 57
60 24 192
60 25 75
60 30 99
60 31 142
60 32 150
60 35 152
60 40 180
60 42 193
60 50 188
60 52 93
60 54 96
60 10 103
60 11 19
60 14 99
60 15 188
60 33 177
60 34 164
60 46 153
60 49 140
60 58 116
60 8 178
60 27 39
60 20 147
60 47 153
61 0 106
61 2 121
61 3 33
61 6 158
61 13 196
61 17 27
61 18 29
61 19 167
61 22 181
61 23 161
61 25 164
61 26 59
61 30 121
61 31 90
61 35 97
61 38 39
61 40 68
61 41 55
61 48 23
61 52 24
61 54 103
61 55 79
61 60 137
61 10 78
61 11 96
61 15 48
61 33 37
61 39 127
61 44 104
61 58 128
61 8 70
61 28 156
61 37 14
61 43 194
61 57 152
61 7 144
61 20 171
61 47 49
63 0 19
63 2 123
63 3 158
63 6 85
63 16 115
63 19 177
63 24 180
63 25 175
63 29 14
63 30 111
63 32 161
63 35 60
63 38 111
63 48 151
63 50 55
63 52 172
63 53 79
63 60 80
63 1 163
63 10 195
63 44 199
63 46 85
63 27 186
63 37 188
63 57 183
63 7 65
63 20 170
66 0 138
66 3 33
66 6 50
66 12 20
66 13 65
66 17 169
66 18 108
66 24 157
66 25 121
66 26 167
66 29 123
66 31 58
66 32 89
66 35 80
66 40 165
66 41 172
66 42 13
66 53 55
66 60 52
66 1 147
66 4 164
66 10 69
66 14 157
66 15 175
66 33 152
66 34 97
66 45 176
66 58 27
66 8 157
66 27 127
66 43 170
66 57 53
66 5 114
66 20 179
66 51 56
69 0 164
69 6 143
69 12 24
69 13 76
69 17 137
69 19 53
69 23 98
69 24 155
69 29 192
69 31 119
69 32 117
69 35 66
69 36 23
69 48 53
69 52 93
69 54 159
69 59 191
69 60 160
69 4 143
69 34 34
69 39 170
69 44 186
69 46 129
69 49 112
69 62 188
69 64 140
69 65 84
69 68 92
69 21 51
69 51 14
71 0 79
71 2 171
71 3 120
71 9 75
71 12 82
71 13 138
71 17 114
71 19 155
71 23 60
71 25 45
71 29 194
71 30 37
71 31 131
71 36 173
71 38 116
71 41 116
71 48 120
71 53 173
71 55 79
71 11 178
71 15 173
71 33 23
71 39 103
71 44 64
71 46 136
71 58 188
71 64 98
71 67 188
71 8 126
71 28 13
71 37 195
71 43 106
71 57 134
71 65 188
71 70 45
71 7 115
71 21 47
72 0 185
72 2 94
72 9 98
72 13 131
72 16 125
72 18 117
72 19 43
72 23 124
72 24 112
72 25 94
72 26 80
72 32 160
72 35 166
72 36 118
72 52 51
72 55 194
72 59 120
72 60 121
72 69 188
72 4 112
72 11 21
72 14 74
72 15 129
72 33 88
72 39 153
72 44 181
72 46 94
72 49 52
72 58 111
72 8 125
72 28 195
72 37 176
72 43 39
72 57 168
72 65 188
72 20 70
72 47 126
74 0 38
74 9 91
74 13 44
74 16 107
74 18 45
74 23 70
74 25 46
74 26 77
74 30 89
74 32 169
74 38 148
74 41 16
74 42 191
74 52 107
74 60 115
74 63 60
74 71 102
74 1 66
74 4 152
74 11 56
74 34 110
74 39 171
74 45 48
74 46 128
74 49 53
74 58 138
74 64 63
74 67 75
74 28 102
74 37 135
74 43 133
74 70 143
74 7 172
74 20 166
74 21 35
76 0 104
76 2 40
76 6 67
76 13 77
76 16 198
76 17 65
76 22 129
76 23 32
76 24 154
76 25 28
76 29 24
76 30 61
76 31 181
76 35 154
76 38 35
76 41 105
76 42 164
76 60 142
76 63 130
76 66 109
76 69 90
76 1 85
76 4 29
76 15 62
76 33 51
76 39 166
76 44 69
76 46 17
76 49 195
76 62 172
76 28 50
76 57 90
76 68 97
76 21 158
76 47 51
76 51 125
77 0 75
77 6 42
77 9 79
77 12 38
77 13 80
77 16 73
77 17 11
77 22 110
77 23 71
77 25 57
77 29 66
77 30 198
77 31 185
77 32 159
77 35 119
77 36 126
77 38 32
77 40 33
77 50 137
77 52 146
77 53 152
77 54 156
77 55 191
77 66 19
77 69 25
77 71 199
77 72 181
77 76 179
77 1 160
77 4 73
77 10 180
77 58 78
77 67 84
77 27 84
77 28 47
77 43 91
77 65 158
77 75 29
77 7 108
77 56 37
77 5 44
77 20 196
77 21 41
77 47 181
78 0 58
78 2 91
78 3 52
78 6 24
78 9 145
78 18 146
78 19 153
78 23 107
78 26 156
78 30 103
78 32 87
78 38 66
78 40 51
78 42 23
78 50 85
78 52 63
78 59 87
78 61 176
78 66 172
78 71 170
78 72 21
78 74 52
78 77 13
78 4 167
78 10 24
78 11 129
78 14 79
78 15 93
78 44 168
78 45 149
78 49 133
78 62 33
78 64 153
78 27 161
78 28 134
78 37 23
78 43 159
78 68 72
78 70 165
78 5 29
78 21 97
78 47 152
78 73 111
79 0 150
79 2 17
79 9 37
79 12 55
79 16 154
79 17 158
79 18 86
79 19 185
79 22 139
79 24 75
79 26 17
79 30 179
79 31 117
79 32 176
79 36 79
79 40 98
79 41 131
79 42 145
79 54 31
79 63 152
79 69 119
79 71 72
79 72 39
79 77 111
79 78 79
79 11 22
79 15 101
79 39 45
79 44 158
79 27 150
79 28 158
79 57 32
79 68 166
79 7 125
79 56 22
79 51 28
80 0 23
80 3 90
80 6 137
80 9 68
80 19 165
80 22 52
80 23 97
80 24 82
80 26 21
80 31 133
80 36 10
80 41 146
80 42 167
80 50 157
80 52 192
80 54 170
80 55 88
80 59 143
80 60 192
80 61 79
80 66 143
80 74 110
80 77 21
80 78 145
80 79 44
80 10 142
80 11 155
80 14 104
80 15 53
80 33 97
80 34 131
80 58 177
80 64 109
80 67 141
80 8 193
80 27 60
80 68 55
80 70 129
80 7 148
80 21 85
81 0 30
81 3 174
81 13 144
81 16 94
81 24 20
81 25 161
81 29 86
81 32 155
81 36 173
81 38 137
81 40 100
81 42 148
81 48 36
81 50 23
81 52 162
81 60 68
81 61 89
81 66 21
81 72 169
81 74 88
81 77 173
81 78 68
81 79 90
81 11 26
81 14 73
81 15 131
81 34 188
81 67 89
81 8 136
81 28 42
81 43 133
81 57 61
81 65 195
81 68 172
81 70 114
81 75 121
81 56 29
81 73 94
81 51 113
83 0 169
83 6 68
83 12 14
83 13 66
83 17 147
83 18 99
83 19 11
83 30 124
83 31 48
83 35 22
83 38 119
83 41 157
83 50 126
83 53 24
83 59 44
83 60 38
83 61 78
83 63 87
