param n := 400;
param r := 399
param c := 
2 0 30
3 0 190
3 1 125
5 0 37
5 2 192
5 3 156
5 1 123
5 4 16
8 0 153
8 1 96
8 7 133
10 0 170
10 8 24
10 1 99
10 9 13
10 6 174
11 0 42
11 2 21
11 3 25
11 5 150
11 8 33
11 10 129
11 7 145
11 4 180
11 6 60
13 0 19
13 2 80
13 3 168
13 10 46
13 11 128
13 1 106
13 7 116
13 12 90
15 0 187
15 2 93
15 8 117
15 11 112
15 1 133
15 7 159
15 9 134
15 12 72
15 4 30
16 0 170
16 2 185
16 3 169
16 13 188
16 1 117
16 14 165
16 4 91
16 6 173
18 0 34
18 3 177
18 15 41
18 16 151
18 1 35
18 7 137
18 14 55
19 0 109
19 2 153
19 5 54
19 13 15
19 15 117
19 18 11
19 1 63
19 7 31
19 9 130
19 12 95
19 14 137
19 6 40
20 0 187
20 5 67
20 8 138
20 10 78
20 11 126
20 15 137
20 16 66
20 1 75
20 7 172
20 17 100
21 0 34
21 2 199
21 3 138
21 5 81
21 8 96
21 13 143
21 15 143
21 1 58
21 7 188
21 12 183
21 17 61
21 6 171
22 0 109
22 2 34
22 8 187
22 10 65
22 11 107
22 13 58
22 18 16
22 20 44
22 21 29
22 1 149
22 7 143
22 4 143
23 0 136
23 3 148
23 11 139
23 13 137
23 15 63
23 16 163
23 18 182
23 21 199
23 22 189
23 1 77
23 12 102
23 14 53
23 17 196
23 4 123
23 6 23
24 0 145
24 3 198
24 5 106
24 8 68
24 11 108
24 15 142
24 18 151
24 21 49
24 22 82
24 23 140
24 1 147
24 7 61
24 9 37
24 14 96
24 17 17
24 4 17
27 0 82
27 2 97
27 3 141
27 5 150
27 8 161
27 10 94
27 11 166
27 13 144
27 15 28
27 16 51
27 19 189
27 22 21
27 23 165
27 1 109
27 7 49
27 9 175
27 12 52
27 14 172
27 17 189
27 25 12
27 6 189
29 0 195
29 8 141
29 10 31
29 11 32
29 15 171
29 19 35
29 24 135
29 27 12
29 1 12
29 7 77
29 12 170
29 14 85
29 6 144
29 28 59
32 0 12
32 3 195
32 10 75
32 11 117
32 16 119
32 18 10
32 19 54
32 20 147
32 29 135
32 1 131
32 17 17
32 4 96
32 25 21
32 30 39
33 0 142
33 3 104
33 8 150
33 10 140
33 11 173
33 13 147
33 16 170
33 22 192
33 24 11
33 29 143
33 7 186
33 12 115
33 14 68
33 4 88
33 30 159
33 28 60
37 0 81
37 2 114
37 3 186
37 5 105
37 11 137
37 15 49
37 16 159
37 18 197
37 21 39
37 22 44
37 23 193
37 24 21
