param n := 400;
param r := 399
param c := 
1 0 146
5 0 60
5 2 80
9 0 15
9 1 189
9 5 182
9 8 53
9 3 97
9 7 30
12 0 130
12 1 126
12 9 50
12 2 154
12 7 161
13 0 121
13 5 133
13 12 186
13 2 137
13 8 73
13 10 112
13 3 114
18 0 195
18 12 161
18 13 164
18 2 32
18 8 165
18 10 81
18 14 132
18 16 87
21 0 152
21 5 97
21 9 35
21 13 99
21 10 66
21 11 91
21 14 56
21 16 142
21 17 198
21 3 30
21 15 148
23 0 180
23 1 168
23 5 54
23 21 49
23 2 167
23 8 158
23 11 125
23 19 200
23 22 199
23 20 86
25 0 42
25 1 181
25 5 74
25 9 36
25 12 85
25 18 128
25 23 145
25 2 134
25 4 157
25 6 192
25 8 138
25 10 98
25 11 178
25 14 123
25 17 158
25 22 25
25 3 112
25 15 53
25 7 13
26 0 195
26 1 175
26 5 95
26 9 158
26 13 97
26 18 175
26 21 25
26 25 140
26 2 176
26 4 155
26 8 145
26 11 116
26 14 115
26 17 97
26 19 15
26 22 62
26 15 105
26 24 96
30 0 173
30 5 16
30 13 101
30 18 84
30 26 149
30 2 80
30 6 123
30 8 60
30 17 33
30 22 122
30 3 26
30 15 189
30 28 69
30 7 190
31 0 39
31 5 92
31 9 15
31 18 39
31 21 188
31 23 179
31 30 157
31 6 62
31 11 154
31 14 82
31 16 10
31 19 64
31 22 69
31 27 55
31 24 74
31 28 107
31 7 22
33 0 178
33 1 91
33 5 49
33 9 102
33 12 155
33 21 63
33 25 171
33 30 181
33 31 164
33 2 187
33 4 83
33 10 87
33 14 180
33 16 172
33 17 149
33 19 124
33 22 87
33 7 144
34 0 120
34 1 153
34 13 109
34 18 97
34 26 93
34 30 104
34 33 46
34 8 45
34 11 137
34 14 160
34 16 200
34 17 155
34 19 112
34 27 161
34 32 131
34 3 154
34 20 142
34 29 199
34 28 177
34 7 60
35 0 94
35 1 103
35 12 29
35 18 127
35 21 159
35 23 39
35 25 109
35 26 13
35 34 134
35 4 31
35 8 80
35 10 42
35 14 169
35 17 53
35 22 162
35 3 41
36 0 197
36 1 194
36 5 155
36 12 160
36 13 200
36 23 136
36 25 83
36 26 167
36 31 190
36 33 43
36 35 88
36 2 74
36 6 147
36 8 67
36 10 194
36 11 91
36 22 168
36 27 48
36 20 70
36 29 71
38 0 147
38 1 65
38 5 140
38 13 141
38 18 81
38 21 154
38 23 19
38 25 165
38 31 32
38 33 156
38 34 135
38 10 14
38 16 36
38 19 167
38 27 57
38 32 135
38 3 119
38 20 164
38 24 167
38 28 164
38 7 95
38 37 175
39 0 170
39 5 43
39 9 197
39 12 128
39 13 136
39 21 61
39 23 83
39 30 41
39 31 97
39 34 189
39 36 82
39 38 177
39 2 111
39 4 151
39 10 98
39 16 44
39 19 28
39 32 146
39 3 62
39 15 17
39 20 105
39 24 176
39 7 173
39 37 147
40 0 121
40 1 50
40 13 194
40 18 171
40 23 96
40 25 162
40 26 83
40 30 193
40 31 42
40 35 29
40 36 13
40 39 56
40 2 195
40 4 179
40 6 95
40 10 161
40 11 181
40 14 55
40 17 68
40 27 157
40 32 83
40 3 191
40 20 127
40 24 146
40 7 191
42 0 84
42 9 75
42 13 170
42 21 176
42 23 158
42 33 164
42 35 93
42 38 136
42 40 47
42 2 193
42 10 178
42 11 24
42 14 117
42 16 61
42 17 126
42 19 108
42 22 23
42 3 102
42 20 110
42 29 22
46 0 43
46 1 42
46 12 64
46 23 124
46 25 78
46 31 102
46 33 186
46 36 87
46 38 39
46 40 55
46 42 78
46 4 130
46 11 179
46 14 84
46 16 67
46 22 28
46 27 35
46 44 99
46 45 41
46 24 186
46 29 84
49 0 81
49 1 157
49 9 70
49 12 145
49 13 125
49 18 86
49 21 149
49 31 142
49 33 137
49 34 146
49 35 68
49 36 132
49 40 54
49 46 60
49 4 173
49 6 22
49 10 11
49 16 134
49 19 127
49 15 181
49 41 184
49 28 144
49 7 149
49 37 25
49 48 130
50 0 130
50 5 42
50 13 77
50 21 38
50 23 125
50 25 58
50 26 101
50 30 164
50 35 143
50 36 195
50 42 89
50 46 91
50 49 103
50 2 51
50 4 30
50 6 32
50 8 180
50 10 183
50 16 196
50 19 175
50 22 136
50 27 19
50 32 82
50 44 189
50 45 63
50 29 45
50 41 187
50 47 58
50 37 118
53 0 72
53 5 181
53 13 121
53 18 131
53 21 158
53 26 21
53 34 110
53 38 91
53 40 131
53 46 58
53 50 79
53 4 102
53 6 102
53 10 74
53 14 112
53 16 111
53 17 112
53 19 72
53 22 118
53 44 68
53 45 24
53 3 90
53 20 83
53 24 178
53 28 139
53 47 148
53 7 125
57 0 137
57 1 148
57 5 76
57 9 120
57 12 197
57 23 83
57 26 55
57 30 33
57 31 199
57 33 40
57 34 184
57 36 44
57 38 168
57 40 45
57 50 117
57 2 35
57 6 34
57 8 181
57 17 88
57 19 10
57 22 133
57 32 109
57 44 146
57 45 112
57 51 86
57 3 153
57 24 178
57 28 93
57 47 92
57 7 147
57 37 128
57 48 171
58 0 158
58 1 95
58 5 183
58 13 64
58 18 90
58 21 55
58 23 26
58 30 95
58 31 178
58 35 25
58 40 145
58 42 23
58 46 108
58 53 158
58 57 109
58 6 102
58 10 41
58 14 149
58 16 18
58 19 156
58 22 39
58 32 194
58 51 151
58 52 171
58 54 44
58 55 132
58 56 147
58 3 27
58 20 72
58 24 121
58 29 173
58 43 79
58 28 82
58 7 121
58 37 116
61 0 45
61 1 43
61 5 196
61 9 131
61 12 99
61 18 29
61 23 176
61 30 23
61 31 112
61 35 133
61 36 30
61 38 185
61 39 112
61 46 140
61 49 68
61 2 29
61 14 169
61 16 130
61 17 48
61 22 108
61 15 59
61 59 105
61 28 29
61 7 29
61 37 146
62 0 187
62 5 112
62 12 45
62 23 133
62 25 194
62 26 97
62 30 152
62 31 166
62 34 200
62 39 163
62 53 140
62 57 111
62 58 17
62 2 123
62 4 130
62 6 91
62 8 53
62 16 59
62 19 186
62 22 72
62 27 104
62 44 112
62 45 175
62 54 38
62 55 186
62 3 172
62 15 59
62 20 157
62 24 30
62 29 122
62 41 134
62 43 14
62 59 174
62 7 84
63 0 48
63 1 149
63 9 165
63 18 158
63 21 26
63 23 165
63 26 63
63 30 36
63 31 157
63 33 182
63 34 100
63 35 167
63 38 53
63 39 90
63 42 191
63 46 185
63 50 24
63 53 133
63 57 75
63 58 179
63 2 197
63 4 89
63 11 47
63 14 183
63 19 26
63 22 45
63 27 61
63 32 191
63 45 175
63 51 59
63 55 108
63 56 76
63 3 95
63 41 199
63 59 131
63 28 180
63 47 77
63 37 95
63 48 164
64 0 105
64 1 37
64 9 104
64 13 105
64 21 55
64 26 123
64 30 38
64 31 125
64 35 151
64 36 176
64 39 66
64 40 68
64 46 91
64 49 90
64 53 199
64 57 17
64 62 176
64 63 142
64 2 140
64 19 156
64 22 27
64 27 175
64 45 193
64 52 32
64 60 50
64 3 176
64 15 108
64 20 72
64 24 148
64 29 102
64 41 129
64 43 43
64 59 35
64 28 23
65 0 44
65 1 69
65 9 166
65 13 114
65 18 43
65 21 64
65 30 124
65 31 173
65 33 106
65 38 119
65 46 93
65 58 200
65 62 132
65 63 175
65 2 115
65 8 85
65 11 160
65 17 46
65 19 42
65 22 61
65 32 12
65 52 103
65 54 132
65 56 66
65 60 146
65 3 110
65 20 196
65 41 30
65 43 137
65 28 34
65 48 196
67 0 120
67 5 123
67 13 57
67 23 142
67 25 197
67 26 52
67 31 102
67 33 66
