param n := 300;
param r := 299
param c := 
1 0 78
2 0 143
3 0 134
5 0 160
5 1 182
5 2 200
5 4 121
8 0 134
8 1 99
8 3 148
8 5 42
8 4 153
8 7 105
8 6 80
9 0 49
9 1 180
9 5 184
9 7 11
9 6 196
10 0 96
10 2 103
10 3 173
10 8 120
10 6 120
11 0 52
11 1 43
11 2 143
11 5 42
11 8 143
11 9 78
11 4 104
11 6 87
12 0 178
12 1 136
12 2 96
12 3 10
12 5 105
12 11 148
12 7 190
13 0 98
13 2 116
13 3 142
13 5 58
13 8 36
13 10 27
13 11 53
13 12 74
13 7 156
14 0 75
14 9 18
14 10 88
14 11 152
14 12 148
14 7 87
14 6 24
15 0 96
15 1 97
15 3 39
15 5 160
15 9 78
15 11 110
15 7 160
16 0 88
16 1 153
16 3 178
16 5 107
16 8 198
16 9 16
16 11 147
16 12 69
16 14 142
16 4 84
16 7 22
16 6 61
17 0 120
17 1 72
17 3 60
17 5 10
17 8 116
17 10 75
17 13 62
17 14 66
17 15 15
17 4 37
17 7 150
17 6 193
18 0 195
18 3 76
18 5 78
18 8 199
18 12 182
18 13 44
18 7 144
18 6 139
19 0 37
19 8 169
19 9 91
19 10 26
19 11 19
19 15 36
19 16 138
19 18 156
20 0 29
20 1 27
20 2 11
20 9 98
20 10 88
20 11 104
20 12 117
20 14 85
20 15 170
20 6 18
21 0 174
21 1 79
21 3 174
21 5 180
21 10 28
21 14 114
21 18 170
21 7 70
21 6 172
22 0 133
22 1 184
22 3 76
22 5 15
22 8 13
22 9 47
22 13 44
22 15 46
22 16 142
22 18 155
22 19 128
22 21 82
22 4 172
22 6 75
23 0 157
23 1 129
23 2 134
23 3 11
23 5 95
23 8 61
23 11 155
23 16 116
23 17 175
23 20 57
23 21 14
23 4 24
23 6 97
25 0 91
25 5 199
25 10 160
25 12 166
25 13 174
25 15 18
25 16 50
25 17 71
25 18 22
25 19 43
25 21 140
25 23 63
25 4 83
25 24 56
27 0 120
27 1 86
27 3 133
27 12 197
27 13 39
27 14 67
27 15 26
27 16 74
27 18 87
27 20 128
27 4 129
27 7 187
27 26 154
27 6 147
29 0 190
29 1 43
29 9 71
29 10 54
29 12 189
29 15 28
29 20 148
29 21 88
29 23 53
29 4 143
29 26 141
29 24 137
30 0 198
30 2 147
30 5 183
30 14 185
30 15 194
30 17 132
30 18 39
30 19 56
30 21 12
30 23 154
30 29 29
30 7 80
30 26 71
30 6 121
30 24 55
31 0 16
31 3 188
31 5 11
31 13 34
31 16 16
31 25 161
31 27 158
31 29 88
31 4 182
31 6 158
31 24 167
33 0 55
33 1 187
33 2 129
33 3 28
33 8 176
33 12 189
33 13 125
33 16 169
33 17 90
33 21 133
33 23 180
33 25 183
33 27 119
33 30 196
33 7 190
33 26 93
33 28 50
33 6 174
33 32 191
33 24 128
34 0 97
34 2 199
34 8 139
34 13 138
34 14 177
34 17 104
34 18 170
34 23 23
34 25 106
34 27 124
34 29 156
34 30 196
34 7 163
34 6 112
34 32 174
34 24 181
36 0 13
36 1 92
36 5 151
36 9 136
36 10 143
36 11 10
36 12 154
36 14 54
36 15 152
36 19 137
36 20 155
36 22 94
36 23 164
36 27 118
36 29 196
36 30 154
36 31 15
36 33 105
36 28 159
36 32 124
37 0 15
37 1 95
37 9 59
37 13 194
37 15 178
37 18 21
37 23 96
37 25 170
37 27 169
37 29 41
37 33 129
37 34 47
37 4 179
37 32 30
38 0 154
38 8 49
38 12 16
38 13 118
38 14 182
38 15 190
38 16 48
38 17 111
38 22 45
38 23 35
38 25 131
38 31 47
38 33 116
38 34 48
38 37 137
38 7 113
38 6 71
38 32 166
38 24 65
39 0 97
39 2 35
39 3 43
39 5 165
39 9 115
39 13 11
39 15 10
39 16 112
39 17 78
39 18 122
39 20 50
39 21 48
39 22 147
39 25 53
39 27 84
39 29 163
39 31 17
39 34 149
39 38 31
39 4 133
39 26 20
39 32 178
42 0 167
42 1 62
42 2 145
42 3 103
42 9 119
42 10 68
42 11 71
42 12 157
42 13 143
42 15 82
42 16 13
42 17 40
42 18 93
42 19 150
42 22 179
42 23 198
42 27 127
42 29 22
42 30 186
42 31 95
42 33 112
42 36 146
42 37 152
42 39 161
42 7 111
42 28 24
42 40 20
42 35 111
42 24 158
45 0 81
45 1 42
45 2 87
45 5 109
45 8 19
45 9 25
45 11 99
45 15 96
45 16 85
45 17 49
45 19 116
45 21 26
45 25 142
45 27 190
45 29 134
45 30 184
45 36 69
45 37 83
45 38 65
45 7 175
45 26 192
45 28 66
45 6 158
45 32 69
45 40 70
47 0 180
47 3 42
47 8 64
47 10 36
47 12 120
47 13 68
47 14 90
47 16 28
47 17 85
47 20 75
47 22 71
47 30 22
47 33 158
47 36 53
47 39 195
47 26 188
47 43 49
47 44 159
47 6 59
47 40 116
47 41 52
47 35 173
47 24 101
48 0 199
48 1 149
48 2 131
48 3 172
48 8 154
48 10 56
48 11 157
48 12 84
48 16 155
48 18 13
48 19 120
48 20 114
48 22 164
48 23 100
48 29 114
48 30 41
48 37 61
48 42 140
48 45 123
48 4 113
48 26 129
48 28 154
48 43 17
48 6 10
48 32 101
48 41 56
48 24 19
50 0 104
50 1 178
50 2 67
50 5 175
50 8 74
50 9 179
50 11 97
50 12 11
50 13 70
50 15 62
50 17 146
50 18 146
50 19 156
50 20 21
50 22 43
50 23 172
50 27 74
50 29 143
50 31 161
50 34 28
50 38 74
50 45 107
50 7 133
50 28 12
